uid;DATE;OLD_TARIF;OLD_PRICE;NEW_TARIF;NEW_PRICE
10186009;12.12.16 11:11;Нет интернета;0;Интернет 2015;399
10139243;01.10.14 9:43;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10068713;01.04.12 0:05;ПРОСТО класс 600;600;ПРОСТО класс 500;500
10092666;04.09.14 10:14;Сёрфинг;300;Нет интернета;0
10026394;10.09.13 15:43;ПРОСТО Класс 500 ускорение;380;ПРОСТО Класс 600 ускорение;480
10023903;26.04.12 8:23;Актив;370;ПРОСТО класс 500;500
10028299;01.05.12 0:05;По рублю 20;600;По рублю 10;300
10076145;10.06.13 10:29;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10028811;01.05.12 0:05;По рублю 10;300;По рублю 10;300
10000213;11.05.12 10:23;ПРОСТО класс 600;600;ПРОСТО Класс 600 ускорение;480
10006100;11.05.12 18:37;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10016807;25.10.14 11:23;Нет интернета;0;Интернет;400
10176887;18.05.16 12:07;Интернет 2015;399;Служебный 200;200
10026843;17.05.12 9:11;По рублю 10;300;Сёрфинг;300
10067233;26.03.16 9:36;Нет интернета;0;Интернет 2015;399
10071530;17.05.12 17:39;ПРОСТО класс 600;600;ПРОСТО Класс 600 ускорение;480
10028811;21.05.12 12:01;По рублю 10;300;Сёрфинг;300
10028811;21.05.12 12:01;Сёрфинг;300;Сёрфинг;300
10134388;24.11.15 8:23;Сёрфинг;300;Нет интернета;0
10177669;04.06.16 9:01;Нет интернета;0;Интернет 2015;399
10113078;01.11.14 8:32;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10037347;08.04.16 8:32;Интернет;400;Нет интернета;0
10059882;10.04.13 10:16;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10028289;15.02.13 15:40;Сёрфинг;300;Тест-драйв 444;324
10027296;04.09.14 10:32;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10182491;15.10.16 9:40;Нет интернета;0;Интернет 2015;399
10149734;19.12.14 17:15;Нет интернета;0;Интернет;400
10073573;25.05.12 7:20;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10073280;25.05.12 13:06;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10001427;25.05.12 14:11;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10040622;25.05.12 22:16;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10025546;26.05.12 1:53;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10025546;26.05.12 1:54;ПРОСТО Класс 500 ускорение;380;ПРОСТО Класс 500 ускорение;380
10005030;07.12.16 7:54;Интернет;400;Халява 100 мб/с;0
10066565;27.05.12 12:12;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10066565;27.05.12 12:12;ПРОСТО Класс 500 ускорение;380;ПРОСТО Класс 500 ускорение;380
10022113;27.05.12 22:46;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10067832;28.05.12 11:28;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10065425;31.05.12 21:09;ПРОСТО класс 600;600;ПРОСТО Класс 600 ускорение;480
10055099;01.06.12 0:05;Нет интернета;0;Сёрфинг;300
10068713;03.06.12 19:01;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10134815;19.12.16 16:18;Нет интернета;0;Снова вместе 70;350
10005876;04.06.12 19:03;ПРОСТО класс 500;500;ПРОСТО Класс 600 ускорение;480
10093599;29.09.14 10:51;Сёрфинг;300;Нет интернета;0
10114643;01.10.14 10:45;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10186009;21.12.16 8:18;Интернет 2015;399;Нет интернета;0
10021914;07.06.12 15:18;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10149161;24.11.16 7:14;Снова вместе 50;300;Интернет 2015;399
10113991;05.09.16 16:13;Нет интернета;0;Интернет 2015;399
10144787;03.10.14 10:51;Нет интернета;0;Интернет;400
10004383;14.06.12 16:43;ПРОСТО класс 700;700;ПРОСТО Класс 700 ускорение;580
10134075;26.04.16 0:03;ПРОСТО Класс 500 ускорение;380;Любимый Абонент 70;350
10082468;10.09.15 10:59;Нет интернета;0;Интернет 2015;399
10015453;26.06.12 16:50;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10086996;15.10.14 10:50;Интернет;400;Нет интернета;0
10070952;01.07.12 0:05;Нет интернета;0;Сёрфинг;300
10066104;01.07.12 0:05;ПРОСТО класс 500;500;Сёрфинг;300
10017299;16.01.16 9:41;Нет интернета;0;Специальный 50;250
10073129;12.07.12 13:12;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10126918;27.02.16 9:25;Нет интернета;0;Снова вместе 50;300
10018671;05.04.16 14:27;Снова вместе 50;300;Специальный 50;250
10151962;15.07.15 13:51;Нет интернета;0;Интернет 2015;399
10170360;06.01.16 9:53;Нет интернета;0;Снова вместе 50;300
10064527;21.07.12 9:58;ПРОСТО Класс 500 ускорение;380;ПРОСТО Класс 600 ускорение;480
10062861;10.09.16 10:05;Нет интернета;0;Интернет 2015;399
10078923;23.07.12 12:23;ПРОСТО Класс 500 ускорение;380;ПРОСТО Класс 600 ускорение;480
10009239;24.07.12 10:44;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10022468;24.07.12 10:49;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10151577;09.07.16 9:20;Нет интернета;0;Интернет 2015;399
10088530;21.02.16 9:30;Нет интернета;0;Снова вместе 70;350
10008749;08.08.12 11:31;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10092781;25.10.14 14:59;ПРОСТО Класс 600 ускорение;480;Интернет;400
10069462;09.08.12 11:19;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10144497;03.10.14 18:37;Нет интернета;0;Интернет;400
10146120;27.10.14 11:33;Нет интернета;0;Интернет;400
10144753;02.10.14 11:48;Нет интернета;0;Интернет;400
10020740;14.08.12 12:16;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10084010;30.12.16 14:00;Моно 50;299;Интернет 2015;399
10020240;17.08.12 15:25;ПРОСТО класс 600;600;ПРОСТО Класс 600 ускорение;480
10151962;02.12.16 8:33;Интернет 2015;399;Нет интернета;0
10184981;19.11.16 9:02;Нет интернета;0;Снова вместе 50;300
10152652;27.08.16 9:35;Нет интернета;0;Интернет 2015;399
10035910;11.10.14 15:08;Нет интернета;0;Интернет;400
10085274;30.10.14 16:33;ПРОСТО Класс 500 ускорение;380;Интернет;400
10184359;06.11.16 9:27;Нет интернета;0;Снова вместе 50;300
10140290;07.08.15 8:43;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10144026;16.01.16 9:53;Нет интернета;0;Снова вместе 50;300
10105820;22.05.13 14:36;ПРОСТО Класс 500 ускорение;380;ПРОСТО Класс 600 ускорение;480
10025672;30.10.14 9:04;Интернет;400;Нет интернета;0
10144497;26.04.16 9:05;Интернет;400;Нет интернета;0
10069464;08.10.16 9:36;Нет интернета;0;Снова вместе 70;350
10013199;10.12.14 11:36;ПРОСТО Класс 500 ускорение;380;Интернет;400
10058435;22.10.12 11:27;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10013928;22.10.12 12:49;Актив;370;ПРОСТО Класс 500 ускорение;380
10085459;22.10.12 15:30;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10157666;18.05.15 19:02;Нет интернета;0;Снова вместе 50;300
10033733;17.09.16 9:45;Нет интернета;0;Специальный 50;250
10007287;22.10.14 11:16;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10174874;06.07.16 8:55;Нет интернета;0;Интернет 2015;399
10103256;23.09.14 11:58;Интернет;400;Нет интернета;0
10078565;03.06.15 8:29;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10175562;03.09.16 8:58;Нет интернета;0;Интернет 2015;399
10077030;25.10.12 16:56;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10119076;29.07.15 9:08;ПРОСТО Класс 600 плюс;480;Нет интернета;0
10175743;23.04.16 10:15;Нет интернета;0;Снова вместе 50;300
10030835;29.10.12 11:14;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10014382;09.04.16 9:30;Нет интернета;0;Снова вместе 50;300
10176523;07.05.16 9:36;Нет интернета;0;Снова вместе 50;300
10028310;19.03.16 11:12;Нет интернета;0;Специальный 50;250
10086492;31.10.12 18:02;Сёрфинг;300;Сёрфинг;300
10029362;01.11.12 0:05;Тест-драйв 544;424;ПРОСТО Класс 500 ускорение;380
10009147;01.11.12 0:05;Сёрфинг;300;Отключен;0
10073307;21.10.14 10:39;Нет интернета;0;Интернет;400
10084030;02.11.12 12:00;Нет интернета;0;Сёрфинг+;500
10084146;02.11.12 13:26;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10089909;28.02.14 15:05;ПРОСТО Класс 700 ускорение;580;Серебряный;679
10086381;02.11.12 19:49;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10002043;03.06.12 19:12;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10002952;15.10.14 12:07;Антикризисный;240;Интернет;400
10002952;01.09.14 0:54;Антикризисный пакет;360;Антикризисный;240
10173656;13.03.16 13:05;Нет интернета;0;Снова вместе 70;350
10150553;21.02.16 9:35;Нет интернета;0;Снова вместе 70;350
10126365;21.10.14 10:43;Интернет;400;Нет интернета;0
10118751;22.10.14 11:31;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10086794;08.11.12 12:57;Нет интернета;0;Сёрфинг;300
10156401;30.01.16 9:36;Нет интернета;0;Интернет 2015;399
10131590;21.09.16 8:33;Интернет 1 Гбит;800;Интернет;400
10149734;30.11.16 8:17;Интернет;400;Нет интернета;0
10006836;27.02.16 9:42;Нет интернета;0;Снова вместе 50;300
10030257;09.11.12 14:51;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10001263;11.11.12 11:50;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10085274;19.03.15 8:11;Интернет;400;Нет интернета;0
10035979;15.07.12 17:06;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10087362;13.11.12 15:18;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10185327;26.11.16 9:24;Нет интернета;0;Снова вместе 70;350
10113991;20.10.16 8:01;Интернет 2015;399;Снова вместе 70;350
10104691;06.05.13 15:41;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10044084;08.10.14 12:47;ПРОСТО Класс 600 ускорение;480;Интернет;400
10173656;30.09.16 8:09;Снова вместе 70;350;Халява 30 мб/с;0
10076082;22.09.14 13:26;Нет интернета;0;Интернет;400
10026587;26.04.16 0:03;ПРОСТО Класс 500 ускорение;380;Любимый Абонент 70;350
10081717;18.02.14 20:32;Нет интернета;0;Сёрфинг;300
10081717;10.10.14 13:07;Сёрфинг;300;Нет интернета;0
10088028;16.11.12 17:24;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10066193;16.11.12 18:01;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10183542;22.10.16 9:25;Нет интернета;0;Снова вместе 70;350
10104341;24.10.14 11:11;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10022897;06.02.16 10:01;Нет интернета;0;Снова вместе 70;350
10093014;03.09.15 11:21;Нет интернета;0;Снова вместе 50;300
10145074;09.10.14 11:58;Нет интернета;0;Интернет;400
10134815;22.12.16 8:11;Снова вместе 70;350;Служебный 200;200
10178330;05.10.16 7:29;Интернет 2015;399;Интернет;400
10088430;23.11.12 16:24;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10028289;10.06.16 8:37;Тест-драйв 444;324;Нет интернета;0
10157666;27.09.16 8:47;Снова вместе 50;300;Нет интернета;0
10152106;29.10.16 9:39;Нет интернета;0;Интернет 2015;399
10097678;06.08.16 8:59;Нет интернета;0;Интернет;400
10088468;29.11.12 10:44;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10036997;30.01.16 9:56;Нет интернета;0;Снова вместе 70;350
10088514;29.11.12 15:01;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10008785;29.11.12 15:05;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10071405;19.09.16 10:45;Нет интернета;0;Специальный 50;250
10063299;01.10.14 13:45;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10057197;14.10.14 17:50;ПРОСТО Класс 500 ускорение;380;Интернет;400
10078302;01.12.12 0:05;ПРОСТО Класс 500 ускорение;380;Сёрфинг;300
10014522;03.05.16 9:28;Нет интернета;0;Интернет 2015;399
10130202;21.10.14 11:28;Сёрфинг;300;Нет интернета;0
10175204;10.04.16 9:15;Нет интернета;0;Интернет 2015;399
10130808;05.09.16 15:18;Интернет;400;Специальный 70;350
10171465;14.07.16 7:54;Снова вместе 50;300;Интернет 2015;399
10071346;05.12.12 17:14;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10092958;15.01.13 16:41;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10084010;03.01.17 8:28;Интернет 2015;399;Моно 50;299
10143771;20.10.16 19:08;Интернет;400;Интернет 200 Мбит;449
10089694;06.12.12 15:17;Нет интернета;0;Сёрфинг;300
10169514;24.12.15 8:14;Интернет 1 Гбит;800;Халява 1 гб/с;0
10105820;10.02.16 8:04;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10128847;17.01.14 11:51;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10128847;15.09.14 13:00;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10182709;03.10.16 16:46;Нет интернета;0;Интернет 2015;399
10005344;09.12.12 15:13;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10083716;22.10.16 9:43;Нет интернета;0;Интернет 2015;399
10042462;10.12.12 12:53;Нет интернета;0;Сёрфинг;300
10010262;15.09.14 13:02;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10180805;30.08.16 10:47;Нет интернета;0;Снова вместе 70;350
10180205;13.08.16 9:41;Нет интернета;0;Снова вместе 70;350
10034064;20.01.16 11:44;Нет интернета;0;Снова вместе 50;300
10093014;01.09.16 8:57;Снова вместе 50;300;Нет интернета;0
10013856;16.10.16 9:15;Нет интернета;0;Снова вместе 70;350
10089736;12.12.12 15:20;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10136387;28.11.14 6:33;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10000213;27.10.14 12:58;Интернет;400;Нет интернета;0
10086362;13.12.12 20:51;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10145831;21.10.14 11:42;Нет интернета;0;Интернет;400
10125778;24.09.14 13:05;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10100669;06.10.14 14:56;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10034361;13.10.14 13:29;Интернет;400;Нет интернета;0
10070416;21.11.12 11:55;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10090787;15.12.12 16:31;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10060307;16.10.14 14:19;Нет интернета;0;Интернет;400
10075112;17.10.14 13:04;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10182709;07.10.16 8:21;Интернет 2015;399;Нет интернета;0
10180805;02.12.16 8:55;Снова вместе 70;350;Нет интернета;0
10090683;20.12.12 11:14;Нет интернета;0;Сёрфинг;300
10090819;20.12.12 11:58;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10024836;01.10.14 14:19;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10025725;09.09.14 11:05;ПРОСТО Класс 500 ускорение;380;Интернет;400
10133871;05.11.14 11:11;ПРОСТО Класс 600 ускорение;480;Интернет;400
10008302;26.01.15 16:29;ПРОСТО Класс 500 ускорение;380;Интернет;400
10128213;19.09.14 13:09;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10029362;25.12.12 16:19;ПРОСТО Класс 500 ускорение;380;ПРОСТО Класс 600 ускорение;480
10171428;29.01.16 17:43;Нет интернета;0;Интернет 2015;399
10123166;03.10.14 13:58;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10090820;26.12.12 10:21;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10142088;19.08.14 13:14;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10134118;05.09.14 17:41;Бронзовый;599;Интернет;400
10089252;27.12.12 13:23;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10040474;27.12.12 15:47;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10134075;28.12.16 8:21;Любимый Абонент 70;350;Нет интернета;0
10066713;24.05.12 21:43;ПРОСТО класс 500;500;ПРОСТО Класс 500 ускорение;380
10125778;20.10.14 14:19;Нет интернета;0;Интернет;400
10094666;29.09.14 13:46;ПРОСТО Класс 500 ускорение;380;Интернет;400
10044329;07.11.14 10:31;Нет интернета;0;Интернет;400
10109690;25.09.14 15:29;Сёрфинг;300;Интернет;400
10159519;25.11.16 0:05;Интернет 2015;399;Интернет 200 Мбит;449
10091660;03.01.13 14:15;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10038912;21.02.16 9:55;Нет интернета;0;Снова вместе 70;350
10176887;07.07.16 8:10;Служебный 200;200;Халява 30 мб/с;0
10021485;10.09.14 13:29;ПРОСТО Класс 500 ускорение;380;Интернет;400
10092454;09.01.13 11:11;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10061625;20.11.13 13:31;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10061625;02.10.14 15:45;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10070784;12.01.17 8:42;Сёрфинг;300;Нет интернета;0
10070246;12.01.13 15:23;Нет интернета;0;Сёрфинг;300
10070246;12.01.13 15:24;Сёрфинг;300;ПРОСТО Класс 500 ускорение;380
10178658;12.01.17 9:26;Снова вместе 70;350;Нет интернета;0
10162023;03.09.15 16:38;Нет интернета;0;Интернет 2015;399
10173766;14.03.16 16:57;Нет интернета;0;Интернет 2015;399
10062259;20.10.14 14:40;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10091320;15.01.13 14:11;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10099315;02.10.14 15:51;Сёрфинг;300;Нет интернета;0
10143771;27.10.16 8:23;Интернет 200 Мбит;449;Нет интернета;0
10119760;02.10.14 15:53;ПРОСТО Класс 600 плюс;480;Нет интернета;0
10022897;11.09.14 13:24;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10128071;01.10.14 14:44;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10142371;26.04.16 0:03;ПРОСТО Класс 500 ускорение;380;Любимый Абонент 70;350
10092924;17.01.13 19:24;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10034870;18.01.13 16:13;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10013199;08.04.16 8:39;Интернет;400;Нет интернета;0
10133873;07.10.14 14:55;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10117172;03.09.14 15:47;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10096152;26.07.16 8:24;Снова вместе 70;350;Нет интернета;0
10018671;10.12.16 8:28;Специальный 50;250;Нет интернета;0
10093463;22.01.13 12:49;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10124978;01.09.14 0:55;ЛК600;600;Интернет;400
10143671;15.09.14 14:20;Нет интернета;0;Интернет;400
10012732;18.08.15 9:27;Сёрфинг;300;Нет интернета;0
10011113;24.09.14 14:17;Актив;370;Нет интернета;0
10060307;08.10.16 10:22;Нет интернета;0;Интернет 2015;399
10025725;12.11.14 10:21;Интернет;400;Нет интернета;0
10092952;24.01.13 15:14;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10176887;07.07.16 8:27;Халява 30 мб/с;0;Служебный 200;200
10153338;16.02.15 14:37;Нет интернета;0;Интернет;400
10173766;16.03.16 9:44;Интернет 2015;399;Снова вместе 50;300
10091848;02.04.16 9:53;Нет интернета;0;Интернет;400
10136488;30.10.14 11:39;Сёрфинг+;500;Нет интернета;0
10149434;20.12.14 10:02;Нет интернета;0;Интернет;400
10080947;04.06.16 9:39;Нет интернета;0;Интернет 2015;399
10093337;26.01.13 18:50;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10025246;10.09.14 12:05;ПРОСТО Класс 500 ускорение;380;Интернет;400
10025246;12.11.14 10:29;Интернет;400;Нет интернета;0
10093163;28.01.13 16:59;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10112074;17.10.14 14:27;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10019699;12.11.14 10:30;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10062878;03.10.14 15:27;Нет интернета;0;Интернет;400
10094664;29.01.13 19:16;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10146146;23.12.14 8:52;Интернет;400;Нет интернета;0
10162023;13.01.16 8:25;Интернет 2015;399;Нет интернета;0
10178996;09.07.16 9:48;Нет интернета;0;Интернет 2015;399
10098395;13.10.14 15:00;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10162246;22.10.16 9:45;Нет интернета;0;Интернет 2015;399
10144378;26.09.14 13:46;Нет интернета;0;Интернет;400
10035127;25.06.16 8:47;Нет интернета;0;Специальный 70;350
10140362;01.07.15 11:07;Сёрфинг;300;Снова вместе 50;300
10182806;02.10.16 9:24;Нет интернета;0;Интернет 2015;399
10041805;02.10.14 16:19;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10141761;14.11.14 10:04;Бронзовый;599;Нет интернета;0
10063212;03.09.14 16:03;Сёрфинг;300;Нет интернета;0
10094116;17.09.14 14:26;ПРОСТО Класс 600 ускорение;480;Нет интернета;0
10176710;14.05.16 9:52;Нет интернета;0;Снова вместе 70;350
10140362;02.12.16 9:05;Снова вместе 50;300;Нет интернета;0
10094450;01.02.13 17:12;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10147631;06.08.16 9:14;Нет интернета;0;Снова вместе 50;300
10032013;22.09.14 16:30;ПРОСТО Класс 500 ускорение;380;Интернет;400
10093319;04.02.13 12:53;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10038056;06.07.16 10:03;Интернет;400;Нет интернета;0
10041227;04.02.13 16:17;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10131746;30.12.15 16:42;Интернет;400;Специальный 50;250
10057197;30.12.16 8:22;Интернет;400;Нет интернета;0
10131590;23.09.16 8:52;Интернет;400;Нет интернета;0
10043683;18.06.16 9:50;Нет интернета;0;Интернет 2015;399
10038314;06.02.13 10:49;Нет интернета;0;Сёрфинг;300
10089697;06.02.13 14:34;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10109645;06.10.14 16:41;Нет интернета;0;Интернет;400
10067757;12.09.14 16:05;ПРОСТО Класс 500 ускорение;380;Интернет;400
10112724;19.07.13 20:23;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10106106;22.11.14 14:41;ПРОСТО Класс 500 ускорение;380;Интернет;400
10035910;15.03.16 10:14;ПРОСТО Класс 600 плюс;480;Интернет;400
10089697;07.02.13 14:41;Сёрфинг;300;ПРОСТО Класс 500 ускорение;380
10080726;27.12.16 14:26;Нет интернета;0;Снова вместе 50;300
10145851;22.10.14 15:36;Нет интернета;0;Интернет;400
10092651;08.02.13 19:50;Нет интернета;0;Сёрфинг;300
10092651;08.02.13 19:51;Сёрфинг;300;ПРОСТО Класс 500 ускорение;380
10139417;05.11.14 13:10;Сёрфинг;300;Нет интернета;0
10173842;16.03.16 9:58;Нет интернета;0;Снова вместе 70;350
10060137;20.06.14 13:01;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10060137;03.09.14 16:14;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10095102;11.02.13 13:01;Нет интернета;0;ПРОСТО Класс 600 ускорение;480
10027398;28.05.16 9:43;Нет интернета;0;Снова вместе 70;350
10081311;31.10.14 12:14;Нет интернета;0;Интернет;400
10096032;12.02.13 13:06;Нет интернета;0;Сёрфинг;300
10085097;05.11.14 13:12;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10170477;12.01.16 9:36;Нет интернета;0;Снова вместе 70;350
10159519;01.12.16 8:57;Интернет 200 Мбит;449;Нет интернета;0
10124978;28.01.16 8:44;Интернет;400;Нет интернета;0
10064768;26.04.16 0:03;ПРОСТО Класс 500 ускорение;380;Любимый Абонент 70;350
10180122;02.12.16 14:08;Интернет;400;Нет интернета;0
10121997;24.09.14 15:28;ПРОСТО Класс 500 ускорение;380;Нет интернета;0
10095036;16.02.13 12:12;Нет интернета;0;Сёрфинг;300
10182878;05.10.16 16:57;Нет интернета;0;Интернет 2015;399
10086631;18.02.13 12:11;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10095165;18.02.13 13:46;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10096996;18.02.13 17:04;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10080726;31.12.16 9:54;Снова вместе 50;300;Снова вместе 70;350
10097133;18.02.13 19:57;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
10104844;10.05.13 17:23;Нет интернета;0;ПРОСТО Класс 500 ускорение;380
