UID;REALIP;STTS;TARIF_INT;PRICE_INT;DATE_OFF
10187217;;0;Интернет 2015;399;
10187218;;0;Интернет 99;399;
10187307;;0;Интернет;400;
10187289;;0;Интернет 99;399;
10186943;;0;Интернет 200 Мбит;449;
10126385;;0;Интернет;400;
10181341;;0;Снова вместе 70;350;
10186829;;0;Специальный 50;250;
10187105;;0;Снова вместе 50;300;
10187167;;0;Интернет 2015;399;
10185731;;0;Снова вместе 50;300;
10174443;;0;Интернет 2015;399;
10187117;;0;Специальный 70;350;
10164766;;0;Интернет 99;399;
10187256;;0;Интернет 2015;399;
10186884;;0;Моно 50;299;
10187288;;0;Интернет 99;399;
10186241;;0;Интернет 2015;399;
10187173;;0;Снова вместе 70;350;
10187242;;0;Моно 50;299;
10187306;;0;Интернет 2015;399;
10187232;;0;Интернет;400;
10187310;;0;Интернет 99;399;
10187165;;0;Интернет 2015;399;
10187271;;0;Интернет 2015;399;
10187303;;0;Снова вместе 70;350;
10187227;;0;Снова вместе 50;300;
10068083;;0;Интернет 2015;399;
10187196;;0;Интернет 99;399;
10187201;;0;Интернет 99;399;
10187200;;0;Интернет 2015;399;
10187311;;0;Интернет 2015;399;
10186409;;0;Интернет;400;
10187257;;0;Интернет 99;399;
10187103;;0;Интернет 2015;399;
10187119;;0;Снова вместе 50;300;
10186432;;0;Интернет 99;399;
10044853;;0;Снова вместе 50;300;
10153146;;0;Снова вместе 50;300;
10187258;;0;Интернет 99;399;
10187300;;0;Интернет;400;
10187263;;0;Снова вместе 50;300;
10187304;;0;Интернет 2015;399;
10187183;;0;Интернет 2015;399;
10025070;;0;Снова вместе 70;350;
10187115;;0;Интернет 99;399;
10187186;;0;Снова вместе 50;300;
10187111;;0;Интернет 99;399;
10186983;;0;Снова вместе 50;300;
10187262;;0;Снова вместе 70;350;
10187179;;0;Интернет 2015;399;
10187246;;0;Интернет 2015;399;
10186130;;0;Снова вместе 50;300;
10187133;;0;Интернет 99;399;
10187198;;0;Интернет 2015;399;
10187199;;0;Снова вместе 50;300;
10187243;;0;Интернет 2015;399;
10187204;;0;Интернет 2015;399;
10044974;;0;Интернет 2015;399;
10187096;;0;Снова вместе 70;350;
10186719;;0;Интернет 99;399;
10175868;;0;Снова вместе 70;350;
10187078;;0;Интернет 99;399;
10149735;;0;Интернет 99;399;
10131177;;0;Любимый Абонент 70;350;
10139494;;0;Интернет 99;399;
10187247;;0;Интернет 2015;399;
10187177;;0;Интернет 2015;399;
10187245;;0;Интернет 99;399;
10187118;;0;Снова вместе 70;350;
10186859;;0;Моно 50;299;
10187249;;0;Снова вместе 70;350;
10187233;;0;Моно 50;299;
10176916;;0;Интернет 2015;399;
10187101;;0;Интернет 99;399;
10187252;;0;Интернет 99;399;
10187136;;0;Снова вместе 70;350;
10187220;;0;Моно 50;299;
10145828;;0;Снова вместе 50;300;
10187248;;0;Интернет 2015;399;
10187193;;0;Интернет 99;399;
10187161;;0;Интернет 99;399;
10139338;;0;Снова вместе 70;350;
10187216;;0;Снова вместе 50;300;
10187121;;0;Интернет;400;
10092102;;0;Снова вместе 70;350;
10069760;;0;Интернет 2015;399;
10187209;;0;Снова вместе 50;300;
10037035;;0;Интернет 2015;399;
10177641;;0;Снова вместе 50;300;
10187230;;0;Интернет 99;399;
10067413;;0;Интернет 2015;399;
10147619;;0;Специальный 70;350;
10186939;;0;Интернет 99;399;
10187231;;0;Интернет 2015;399;
10073782;;0;Снова вместе 70;350;
10053552;;0;Снова вместе 70;350;
10187166;;0;Интернет 99;399;
10172488;;0;Снова вместе 70;350;
10075641;;0;Интернет 2015;399;
10019910;;0;Интернет 2015;399;
10187190;;0;Интернет 2015;399;
10165493;;0;Интернет 2015;399;
10187188;;0;Снова вместе 50;300;
10186717;;0;Моно 50;299;
10130748;;0;Интернет 2015;399;
10108927;;0;Интернет 2015;399;
10186887;;0;Интернет;400;
10187156;;0;Снова вместе 70;350;
10187171;;0;Снова вместе 70;350;
10076133;;0;Снова вместе 70;350;
10063437;;0;Снова вместе 70;350;
10134341;;0;Интернет 2015;399;
10186998;;0;Снова вместе 70;350;
10187123;;0;Моно 50;299;
10179417;;0;Интернет 99;399;
10187122;;0;Интернет 2015;399;
10187130;;0;Снова вместе 70;350;
10187126;;0;Снова вместе 70;350;
10166154;;0;Интернет 99;399;
10184252;;0;Снова вместе 70;350;
10187124;;0;Интернет 2015;399;
10182552;;0;Интернет 2015;399;
10045496;;0;Снова вместе 70;350;
10187110;;0;Интернет 99;399;
10187116;;0;Моно 50;299;
10187131;;0;Интернет 2015;399;
10187135;;0;Интернет 2015;399;
10187048;;0;Интернет 99;399;
10066196;;0;Снова вместе 50;300;
10055902;;0;Интернет 99;399;
10187089;;0;Интернет 99;399;
10187091;;0;Снова вместе 50;300;
10187102;;0;Интернет 2015;399;
10008940;;0;Моно 50;299;
10187098;;0;Интернет 99;399;
10181271;;0;Интернет 2015;399;
10186730;;0;Снова вместе 50;300;
10187004;;0;Снова вместе 70;350;
10034085;;0;Снова вместе 50;300;
10187031;;0;Снова вместе 50;300;
10186990;;0;Интернет 2015;399;
10187036;;0;Интернет 99;399;
10186589;;0;Снова вместе 70;350;
10008950;;0;Интернет 99;399;
10033684;;0;Снова вместе 70;350;
10186926;;0;Интернет 99;399;
10186890;;0;Интернет 99;399;
10186975;;0;Интернет 99;399;
10186958;;0;Интернет 99;399;
10186930;;0;Моно 25;249;
10041065;;0;Снова вместе 70;350;
10186927;;0;Снова вместе 50;300;
10186799;;0;Интернет 99;399;
10186978;;0;Интернет 99;399;
10187054;;0;Интернет 99;399;
10085606;;0;Снова вместе 70;350;
10186933;;0;Интернет 2015;399;
10186977;;0;Интернет 99;399;
10186273;;0;Снова вместе 50;300;
10186917;;0;Интернет 2015;399;
10186944;;0;Снова вместе 50;300;
10080363;;0;Интернет 2015;399;
10187009;91.246.116.45;0;Интернет 2015;399;
10187001;;0;Интернет;400;
10186879;;0;Снова вместе 50;300;
10186947;;0;Интернет 2015;399;
10187038;;0;Моно 50;299;
10187026;;0;Интернет 99;399;
10186912;;0;Снова вместе 50;300;
10186941;;0;Интернет 99;399;
10187080;;0;Интернет 99;399;
10033074;;0;Интернет 2015;399;
10186835;;0;Снова вместе 70;350;
10187013;;0;Интернет 99;399;
10186899;;0;Интернет 99;399;
10150624;;0;Интернет 99;399;
10187040;;0;Снова вместе 70;350;
10186936;;0;Сёрфинг;300;
10186992;;0;Снова вместе 70;350;
10186988;;0;Интернет 2015;399;
10068494;;0;Интернет 2015;399;
10097514;;0;Интернет 99;399;
10186960;;0;Интернет 99;399;
10186986;;0;Интернет 2015;399;
10126714;;0;Снова вместе 70;350;
10187052;;0;Снова вместе 70;350;
10187043;;0;Интернет 99;399;
10187050;;0;Интернет 2015;399;
10186961;;0;Интернет 99;399;
10089817;;0;Снова вместе 70;350;
10110699;;0;Интернет 2015;399;
10149795;;0;Интернет 2015;399;
10187035;;0;Интернет 2015;399;
10186950;;0;Специальный 50;250;
10187011;;0;Интернет 99;399;
10186861;;0;Интернет 2015;399;
10074795;;0;Интернет 2015;399;
10067909;;0;Интернет 99;399;
10125498;;0;Снова вместе 70;350;
10186866;;0;Интернет 2015;399;
10016837;;0;Снова вместе 70;350;
10186976;;0;Интернет 99;399;
10130660;;0;Интернет;400;
10186830;;0;Снова вместе 50;300;
10181465;;0;Интернет 99;399;
10186984;;0;Интернет 99;399;
10186888;;0;Интернет 2015;399;
10186964;;0;Интернет 99;399;
10140795;;0;Интернет 99;399;
10186923;;0;Интернет 99;399;
10089242;;0;Моно 25;249;
10186982;;0;Интернет 2015;399;
10186954;;0;Интернет 2015;399;
10184638;;0;Интернет 99;399;
10186762;;0;Интернет 99;399;
10186981;;0;Интернет 2015;399;
10186974;;0;Интернет 2015;399;
10186788;;0;Интернет 2015;399;
10187002;;0;Снова вместе 50;300;
10186938;;0;Интернет 99;399;
10160395;;0;Интернет 2015;399;
10186928;;0;Интернет;400;
10174875;;0;Интернет 2015;399;
10186833;;0;Интернет 99;399;
10186995;;0;Снова вместе 70;350;
10082632;;0;Снова вместе 70;350;
10186973;;0;Интернет 99;399;
10176679;;0;Снова вместе 70;350;
10186945;;0;Интернет;400;
10186896;;0;Интернет 2015;399;
10186722;;0;Интернет 99;399;
10186989;;0;Снова вместе 50;300;
10175334;;0;Снова вместе 70;350;
10084010;;0;Моно 50;299;
10186951;;0;Интернет 2015;399;
10080755;;0;Снова вместе 50;300;
10186881;;0;Интернет 2015;399;
10177637;;0;Интернет 99;399;
10186929;;0;Снова вместе 70;350;
10186924;;0;Интернет 99;399;
10184414;;0;Снова вместе 50;300;
10186772;;0;Интернет 99;399;
10186759;;0;Интернет 2015;399;
10186801;;0;Снова вместе 70;350;
10178513;;0;Снова вместе 70;350;
10186809;;0;Интернет 2015;399;
10186339;;0;Интернет 99;399;
10104910;;0;Интернет 99;399;
10186946;;0;Снова вместе 50;300;
10186655;;0;Интернет 99;399;
10153469;;0;Интернет 99;399;
10086015;;0;Снова вместе 50;300;
10186824;;0;Интернет 99;399;
10055593;;0;Снова вместе 70;350;
10178639;;0;Интернет 2015;399;
10186797;;0;Интернет 99;399;
10186894;;0;Интернет 99;399;
10161810;;0;Снова вместе 70;350;
10186862;;0;Интернет 2015;399;
10186753;;0;Интернет 2015;399;
10186313;;0;Интернет 99;399;
10186919;;0;Снова вместе 50;300;
10186914;;0;Интернет 99;399;
10186703;;0;Интернет 99;399;
10186710;;0;Интернет 99;399;
10186885;;0;Снова вместе 70;350;
10154532;;0;Интернет 2015;399;
10092305;;0;Интернет 2015;399;
10186785;;0;Интернет 2015;399;
10186769;;0;Интернет 99;399;
10186942;;0;Снова вместе 50;300;
10186787;;0;Интернет 2015;399;
10186804;;0;Интернет 99;399;
10186892;;0;Интернет 99;399;
10186761;;0;Интернет 99;399;
10186898;;0;Снова вместе 70;350;
10145870;;0;Интернет;400;
10114752;;0;Снова вместе 70;350;
10010823;;0;Интернет 99;399;
10186913;;0;Интернет 99;399;
10186870;;0;Снова вместе 70;350;
10186746;;0;Снова вместе 70;350;
10002295;;0;Интернет 99;399;
10075868;;0;Снова вместе 50;300;
10104776;;0;Интернет 99;399;
10186128;;0;Интернет 2015;399;
10136986;;0;Снова вместе 70;350;
10186868;;0;Снова вместе 50;300;
10186948;;0;Интернет 2015;399;
10066330;;0;Интернет 200 Мбит;449;
10111661;;0;Снова вместе 50;300;
10186916;;0;Интернет 2015;399;
10186867;;0;Интернет 2015;399;
10186784;;0;Интернет 99;399;
10152272;;0;Снова вместе 70;350;
10009239;;0;Интернет;400;
10186886;;0;Интернет 99;399;
10186872;;0;Интернет 99;399;
10186750;;0;Интернет 99;399;
10013561;;0;Интернет;400;
10186822;;0;Интернет 99;399;
10154906;;0;Снова вместе 70;350;
10037237;;0;Снова вместе 50;300;
10079754;;0;Снова вместе 70;350;
10167709;;0;Интернет 2015;399;
10186836;;0;Снова вместе 70;350;
10038497;;0;Снова вместе 70;350;
10185059;;0;Интернет 99;399;
10068784;;0;Моно 25;249;
10076238;;0;Интернет 2015;399;
10186758;;0;Интернет 99;399;
10186757;;0;Снова вместе 50;300;
10186484;;0;Снова вместе 70;350;
10122684;;0;Интернет 2015;399;
10186893;;0;Интернет 99;399;
10175083;;0;Интернет 2015;399;
10186828;;0;Интернет 2015;399;
10186660;;0;Снова вместе 70;350;
10186712;;0;Интернет 99;399;
10186640;;0;Интернет 2015;399;
10148313;;0;Снова вместе 70;350;
10118225;;0;Снова вместе 70;350;
10186845;;0;Интернет 2015;399;
10163384;;0;Интернет 99;399;
10186821;;0;Интернет 2015;399;
10076719;;0;Интернет 2015;399;
10186857;;0;Интернет 99;399;
10180871;;0;Интернет 2015;399;
10186855;;0;Снова вместе 70;350;
10186863;;0;Интернет 2015;399;
10186874;;0;Интернет 2015;399;
10186805;;0;Интернет 2015;399;
10186858;;0;Интернет 99;399;
10186877;;0;Интернет 99;399;
10186817;;0;Снова вместе 70;350;
10184571;;0;Интернет 99;399;
10186550;;0;Снова вместе 70;350;
10186637;;0;Интернет 99;399;
10066172;;0;Снова вместе 70;350;
10184839;;0;Интернет 99;399;
10035378;;0;Интернет 2015;399;
10080726;;0;Снова вместе 70;350;
10186796;;0;Снова вместе 70;350;
10097971;;0;Интернет 2015;399;
10176747;;0;Снова вместе 70;350;
10150087;;0;Снова вместе 70;350;
10186806;;0;Интернет 2015;399;
10178743;;0;Снова вместе 50;300;
10128027;;0;Снова вместе 50;300;
10186664;;0;Моно 50;299;
10177830;;0;Интернет 99;399;
10186267;;0;Интернет 99;399;
10067719;;0;Снова вместе 70;350;
10186880;;0;Интернет 99;399;
10186818;;0;Снова вместе 50;300;
10114470;;0;Снова вместе 70;350;
10125880;;0;Снова вместе 70;350;
10185800;;0;Снова вместе 70;350;
10160323;;0;Интернет 2015;399;
10058650;;0;Снова вместе 70;350;
10184680;;0;Интернет 99;399;
10152022;;0;Интернет 99;399;
10186770;;0;Снова вместе 50;300;
10185272;;0;Интернет 2015;399;
10186807;;0;Интернет 2015;399;
10186790;;0;Интернет 99;399;
10169078;;0;Сёрфинг;300;
10186263;;0;Интернет 99;399;
10077026;;0;Снова вместе 70;350;
10186658;;0;Снова вместе 70;350;
10131081;;0;Интернет 2015;399;
10163804;;0;Интернет 99;399;
10186873;;0;Интернет 99;399;
10186777;;0;Снова вместе 70;350;
10186521;;0;Интернет 2015;399;
10186582;;0;Любимый Абонент 70;350;
10069955;;0;Интернет 2015;399;
10186707;;0;Снова вместе 50;300;
10186678;;0;Интернет 2015;399;
10186832;;0;Интернет 2015;399;
10184605;;0;Снова вместе 50;300;
10057033;;0;Снова вместе 70;350;
10186638;;0;Специальный 50;250;
10063416;;0;Снова вместе 50;300;
10175244;;0;Снова вместе 70;350;
10139491;;0;Снова вместе 70;350;
10186755;;0;Интернет;400;
10186150;;0;Интернет 99;399;
10178544;;0;Снова вместе 70;350;
10186765;;0;Снова вместе 70;350;
10057014;;0;Снова вместе 70;350;
10020624;;0;Снова вместе 50;300;
10186708;;0;Снова вместе 50;300;
10186451;;0;Интернет 99;399;
10186723;;0;Интернет 99;399;
10119712;;0;Снова вместе 50;300;
10116595;;0;Интернет 2015;399;
10149029;;0;Снова вместе 70;350;
10042178;;0;Снова вместе 50;300;
10186223;;0;Снова вместе 70;350;
10179451;;0;Интернет 2015;399;
10145561;;0;Снова вместе 50;300;
10130631;;0;Интернет 99;399;
10073427;;0;Снова вместе 70;350;
10186696;;0;Интернет 2015;399;
10186798;;0;Интернет 2015;399;
10186302;;0;Интернет 99;399;
10186657;;0;Интернет 99;399;
10055534;;0;Интернет 2015;399;
10182964;;0;Снова вместе 50;300;
10186794;;0;Снова вместе 50;300;
10120557;;0;Интернет 99;399;
10146267;;0;Интернет 99;399;
10186767;;0;Интернет 2015;399;
10145416;;0;Интернет 99;399;
10186763;;0;Интернет 99;399;
10186715;;0;Интернет 99;399;
10186803;;0;Интернет 2015;399;
10186778;;0;Интернет 2015;399;
10186812;;0;Снова вместе 50;300;
10186792;;0;Интернет 2015;399;
10064654;;0;Интернет 2015;399;
10186802;;0;Интернет 99;399;
10180286;;0;Снова вместе 70;350;
10186751;;0;Моно 50;299;
10038395;;0;Интернет 2015;399;
10064268;;0;Снова вместе 70;350;
10186587;;0;Снова вместе 70;350;
10186601;;0;Снова вместе 70;350;
10186171;;0;Интернет 99;399;
10186709;;0;Интернет 99;399;
10186639;;0;Моно 50;299;
10025227;;0;Интернет 99;399;
10186711;;0;Интернет 2015;399;
10186623;;0;Интернет 99;399;
10186577;;0;Интернет 99;399;
10179857;;0;Интернет 2015;399;
10155942;;0;Снова вместе 70;350;
10065812;;0;Снова вместе 70;350;
10182611;;0;Интернет 2015;399;
10094666;;0;Интернет;400;
10130289;;0;Интернет 2015;399;
10186702;;0;Интернет 2015;399;
10162023;;0;Снова вместе 70;350;
10153998;;0;Интернет 2015;399;
10186636;;0;Интернет 99;399;
10186771;;0;Интернет 99;399;
10096129;;0;Интернет 2015;399;
10186672;;0;Интернет 2015;399;
10041227;;0;Снова вместе 70;350;
10186698;;0;Интернет 2015;399;
10170817;;0;Интернет 2015;399;
10185465;;0;Снова вместе 50;300;
10186729;;0;Интернет 99;399;
10186544;;0;Интернет 2015;399;
10037319;;0;Интернет 2015;399;
10186628;;0;Моно 50;299;
10183394;;0;Снова вместе 70;350;
10164753;;0;Интернет 2015;399;
10180515;;0;Снова вместе 50;300;
10186680;;0;Снова вместе 50;300;
10166558;;0;Интернет 2015;399;
10186659;;0;Интернет 99;399;
10186652;;0;Интернет 2015;399;
10186155;;0;Интернет 99;399;
10040474;;0;Снова вместе 70;350;
10186581;;0;Интернет 99;399;
10186541;;0;Снова вместе 70;350;
10063984;;0;Интернет 2015;399;
10186500;;0;Интернет 2015;399;
10186431;;0;Интернет 2015;399;
10184272;;0;Интернет 2015;399;
10086583;;0;Интернет 99;399;
10092587;;0;Акционный 70;349;
10186528;;0;Интернет 99;399;
10186701;;0;Снова вместе 50;300;
10186221;;0;Снова вместе 50;300;
10130802;;0;Интернет;400;
10098153;;0;Интернет 99;399;
10179383;;0;Снова вместе 70;350;
10107358;;0;Снова вместе 50;300;
10186600;;0;Интернет 99;399;
10186536;;0;Интернет 99;399;
10186543;;0;Интернет 2015;399;
10186599;;0;Интернет 99;399;
10186604;;0;Снова вместе 70;350;
10186634;;0;Интернет 99;399;
10186496;;0;Интернет 99;399;
10186527;;0;Снова вместе 50;300;
10186643;;0;Снова вместе 50;300;
10186635;;0;Моно 50;299;
10124798;;0;Интернет 99;399;
10146477;;0;Моно 25;249;
10186706;;0;Снова вместе 50;300;
10186648;;0;Снова вместе 70;350;
10186627;;0;Интернет 99;399;
10186620;;0;Интернет 99;399;
10174232;;0;Интернет 99;399;
10185358;;0;Интернет 99;399;
10186525;;0;Интернет 2015;399;
10009019;;0;Интернет 2015;399;
10186534;;0;Интернет 2015;399;
10186575;;0;Снова вместе 70;350;
10186123;;0;Интернет 2015;399;
10185318;;0;Интернет 99;399;
10186650;;0;Снова вместе 70;350;
10086561;;0;Снова вместе 50;300;
10037217;;0;Интернет 2015;399;
10070056;;0;Интернет 2015;399;
10186455;;0;Интернет;400;
10071120;;0;Моно 50;299;
10186641;;0;Снова вместе 50;300;
10185558;;0;Интернет 2015;399;
10186508;;0;Интернет 2015;399;
10171828;;0;Снова вместе 50;300;
10186515;;0;Интернет 99;399;
10186653;;0;Интернет 2015;399;
10167960;;0;Снова вместе 70;350;
10104129;;0;Интернет 2015;399;
10186498;;0;Снова вместе 50;300;
10186042;;0;Интернет 99;399;
10186584;;0;Снова вместе 70;350;
10186597;;0;Интернет 2015;399;
10126110;;0;Интернет 2015;399;
10186360;;0;Снова вместе 70;350;
10186443;;0;Интернет 99;399;
10186516;;0;Интернет 2015;399;
10186343;;0;Моно 50;299;
10186394;;0;Интернет 99;399;
10186509;;0;Моно 50;299;
10042638;;0;Снова вместе 50;300;
10058169;;0;Интернет 2015;399;
10186595;;0;Интернет 99;399;
10186545;;0;Интернет 99;399;
10186518;;0;Интернет 99;399;
10076850;;0;Интернет 99;399;
10084985;;0;Снова вместе 50;300;
10186268;;0;Интернет 99;399;
10186372;;0;Интернет 99;399;
10185984;;0;Интернет 99;399;
10186571;;0;Интернет 99;399;
10186606;;0;Интернет 2015;399;
10176701;;0;Акционный 70;349;
10030949;;0;Снова вместе 70;350;
10186615;;0;Интернет 99;399;
10186538;;0;Специальный 50;250;
10132103;;0;Интернет 2015;399;
10034142;;0;Снова вместе 70;350;
10186482;;0;Интернет 2015;399;
10185651;;0;Интернет 99;399;
10068289;;0;Интернет 2015;399;
10126861;;0;Интернет 99;399;
10161813;;0;Интернет;400;
10186236;;0;Интернет 99;399;
10186415;;0;Любимый Абонент 70;350;
10186057;;0;Интернет 99;399;
10177368;;0;Интернет 200 Мбит;449;
10186499;;0;Интернет;400;
10186408;;0;Интернет 99;399;
10186474;;0;Снова вместе 70;350;
10177382;;0;Интернет 99;399;
10071981;;0;Снова вместе 70;350;
10056708;;0;Снова вместе 50;300;
10080579;;0;Интернет;400;
10186517;;0;Интернет 99;399;
10069495;;0;Интернет 2015;399;
10059466;;0;Снова вместе 70;350;
10186483;;0;Снова вместе 50;300;
10186490;;0;Интернет 99;399;
10186228;;0;Снова вместе 70;350;
10186429;;0;Снова вместе 70;350;
10112694;;0;Интернет 2015;399;
10186457;;0;Интернет 2015;399;
10186485;;0;Интернет 2015;399;
10186505;;0;Интернет;400;
10186413;;0;Снова вместе 70;350;
10186531;;0;Интернет 2015;399;
10145986;;0;Интернет 2015;399;
10185990;;0;Интернет 2015;399;
10186469;;0;Интернет 2015;399;
10186356;;0;Служебный 200;200;
10128056;;0;Интернет 2015;399;
10186526;;0;Снова вместе 50;300;
10186403;;0;Снова вместе 70;350;
10022133;;0;Снова вместе 70;350;
10172839;;0;Интернет 99;399;
10186479;;0;Интернет 99;399;
10186532;;0;Интернет 99;399;
10186174;;0;Интернет 99;399;
10186333;;0;Интернет;400;
10186477;;0;Снова вместе 70;350;
10186507;;0;Интернет 2015;399;
10177122;;0;Снова вместе 70;350;
10121537;;0;Снова вместе 70;350;
10039668;;0;Интернет 2015;399;
10078923;;0;Интернет 99;399;
10021049;;0;Интернет 2015;399;
10186425;;0;Снова вместе 50;300;
10175219;;0;Акционный 70;349;
10186512;;0;Интернет 2015;399;
10186049;;0;Снова вместе 70;350;
10186354;;0;Интернет 2015;399;
10186312;;0;Интернет 99;399;
10180686;;0;Снова вместе 70;350;
10166427;;0;Интернет 2015;399;
10186395;;0;Интернет 2015;399;
10134388;;0;Снова вместе 70;350;
10150952;;0;Снова вместе 50;300;
10186278;;0;Интернет 99;399;
10186414;;0;Снова вместе 50;300;
10026931;;0;Снова вместе 70;350;
10186476;;0;Интернет 99;399;
10186359;;0;Снова вместе 70;350;
10186475;;0;Снова вместе 70;350;
10185366;;0;Любимый Абонент 70;350;
10127429;;0;Интернет 2015;399;
10134815;;0;Служебный 200;200;
10149075;;0;Интернет 2015;399;
10186305;;0;Интернет 1 Гбит;800;
10186402;;0;Интернет 99;399;
10186462;;0;Интернет 2015;399;
10183317;;0;Специальный 50;250;
10176640;;0;Интернет 2015;399;
10186434;;0;Интернет 2015;399;
10186427;;0;Снова вместе 70;350;
10185148;;0;Интернет 2015;399;
10097646;;0;Интернет;400;
10186478;;0;Интернет 2015;399;
10186466;;0;Интернет 99;399;
10186200;;0;Интернет 99;399;
10186460;;0;Интернет 99;399;
10186351;;0;Снова вместе 70;350;
10165786;;0;Снова вместе 50;300;
10186438;;0;Интернет 2015;399;
10186448;;0;Интернет 99;399;
10186449;;0;Снова вместе 70;350;
10160901;;0;Интернет 2015;399;
10185857;;0;Интернет 99;399;
10186353;;0;Интернет 99;399;
10186458;;0;Снова вместе 70;350;
10186154;;0;Снова вместе 50;300;
10186412;;0;Интернет 99;399;
10186459;;0;Интернет 99;399;
10011243;;0;Интернет 2015;399;
10186234;;0;Интернет 99;399;
10186439;;0;Интернет 99;399;
10045217;;0;Интернет;400;
10186350;;0;Интернет 99;399;
10186064;;0;Интернет 2015;399;
10152916;;0;Снова вместе 50;300;
10152369;;0;Снова вместе 70;350;
10186428;;0;Интернет 99;399;
10186426;;0;Интернет 2015;399;
10186222;;0;Интернет 99;399;
10186416;;0;Интернет 99;399;
10186456;;0;Интернет 99;399;
10123517;;0;Интернет 99;399;
10186442;;0;Интернет 2015;399;
10182503;;0;Снова вместе 50;300;
10044026;;0;Снова вместе 70;350;
10186301;;0;Интернет 2015;399;
10186411;;0;Интернет 2015;399;
10186380;;0;Интернет 2015;399;
10186336;;0;Интернет 2015;399;
10186374;;0;Снова вместе 50;300;
10186369;;0;Снова вместе 50;300;
10113342;;0;Снова вместе 70;350;
10186169;;0;Моно 50;299;
10124837;;0;Интернет;400;
10154376;;0;Интернет 2015;399;
10186424;;0;Интернет;400;
10186340;;0;Снова вместе 50;300;
10165316;;0;Снова вместе 70;350;
10055340;;0;Снова вместе 50;300;
