;evt_type_num;1103_prev;1103_post;1109_prev;1109_post;1111_prev;1111_post;1113_prev;1113_post;1115_prev;1115_post;1117_prev;1117_post;1119_prev;1119_post;1121_prev;1121_post;1123_prev;1123_post;1125_prev;1125_post;1134_prev;1134_post;1136_prev;1136_post;1164_prev;1164_post;1166_prev;1166_post;1170_prev;1170_post;1178_prev;1178_post;1180_prev;1180_post;1182_prev;1182_post;1188_prev;1188_post;1190_prev;1190_post;1196_prev;1196_post;1210_prev;1210_post;1216_prev;1216_post;1218_prev;1218_post;1487_prev;1487_post;1972462773_prev;1972462773_post;2884620857_prev;2884620857_post;3246631463_prev;3246631463_post;4464520745_prev;4464520745_post;5281267026_prev;5281267026_post;5465536958_prev;5465536958_post;5465551953_prev;5465551953_post;5465600229_prev;5465600229_post;6029388272_prev;6029388272_post;6064027586_prev;6064027586_post;6064027597_prev;6064027597_post;6064061663_prev;6064061663_post;6064071199_prev;6064071199_post;6064100661_prev;6064100661_post;6064411646_prev;6064411646_post;6066147434_prev;6066147434_post;6071542409_prev;6071542409_post;6072675642_prev;6072675642_post;6074370064_prev;6074370064_post;6082462464_prev;6082462464_post;6097787339_prev;6097787339_post;6100944762_prev;6100944762_post;6100954493_prev;6100954493_post;6100958508_prev;6100958508_post;6100971872_prev;6100971872_post;6100986271_prev;6100986271_post;6100996664_prev;6100996664_post;6101017092_prev;6101017092_post;6101025570_prev;6101025570_post;6101071505_prev;6101071505_post;6101130962_prev;6101130962_post;6101688611_prev;6101688611_post;6101705982_prev;6101705982_post;6101798974_prev;6101798974_post;6103192580_prev;6103192580_post;6108364993_prev;6108364993_post;6108824655_prev;6108824655_post;6111532602_prev;6111532602_post;6111932208_prev;6111932208_post;6112341779_prev;6112341779_post;6112715950_prev;6112715950_post;6112959031_prev;6112959031_post;6113912545_prev;6113912545_post;6368901817_prev;6368901817_post;7163029317_prev;7163029317_post;7604445879_prev;7604445879_post;7604684006_prev;7604684006_post;7691882320_prev;7691882320_post;7699615719_prev;7699615719_post;890896994_prev;890896994_post;890904439_prev;890904439_post;9092741870_prev;9092741870_post;9092758665_prev;9092758665_post;MAIN_OPERATION;ROLE_COUNT;FLAG_ID_STORNO_APPROVE;STORNO_APPROVE_FLAG;FLAG_BK_PIN;BK_PIN_FLAG
9772;8;1.0;1.0;0.0;2.0;0.0;1.0;;;;;;;;;;;1;0;2.0;0.0;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;5.0;0.0;;;;;1.0;0.0;;;1.0;0.0;;;;;;;2.0;0.0;;;;;;;;;;;;;5.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;1;;0;;0
646;14;3.0;0.0;1.0;1.0;;;;;;;;;;;;;4;0;4.0;4.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;5.0;2.0;;;;;;;;;3.0;0.0;;;;;;;1.0;0.0;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;1;;0;10469768286;1
2820;4;3.0;0.0;2.0;1.0;;;;;;;;;;;;;1;0;1.0;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;1224803406;1
7034;5;;;;;;;;;;;;;;;;;4;0;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;3.0;4.0;;;;;;;;;;;;;;;;;1.0;2.0;;;;;;;;;;;;;2.0;3.0;;;;;;;;;;;;;;;;;;;;;;;2.0;6.0;;;0.0;9.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
6102;3;1.0;0.0;0.0;1.0;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
6600;6;1.0;1.0;1.0;1.0;;;;;;;;;;;;;6;0;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;3.0;2.0;;;;;1.0;0.0;;;3.0;3.0;;;;;;;;;;;;;;;;;;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;2.0;1.0;;;;;1;0;;0;;0
2666;14;1.0;0.0;;;;;;;;;;;;;;;5;0;;;2.0;1.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;1.0;3.0;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2.0;1.0;1.0;;;;;0;1;;0;;0
215;14;1.0;0.0;0.0;1.0;;;;;;;;;;;;;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;0;1;;0;;0
10992;3;2.0;0.0;0.0;1.0;;;;;;;;;;;;;2;0;2.0;0.0;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;4.0;3.0;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;8980481102;1
7997;17;1.0;1.0;0.0;1.0;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
2755;16;1.0;0.0;;;;;;;;;;;;;;;1;0;;;;;1.0;0.0;;;;;1.0;0.0;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;;;;;1.0;0.0;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;0.0;;;;;;;;;;;;;;;;;5.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1204231458;1;;0
6221;5;2.0;1.0;1.0;4.0;0.0;1.0;0.0;1.0;;;;;1.0;0.0;;;2;0;;;1.0;1.0;1.0;1.0;;;;;8.0;4.0;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;9.0;4.0;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
12206;7;;;;;;;;;;;;;;;;;3;2;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;0;0;;0;;0
2751;7;1.0;3.0;0.0;3.0;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
7778;8;1.0;0.0;0.0;1.0;;;;;;;;;;;;;1;0;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
11877;4;;;;;;;;;;;;;;;;;1;0;2.0;6.0;;;2.0;0.0;;;;;2.0;0.0;;;;;;;;;;;;;;;3.0;1.0;;;;;;;;;3.0;3.0;;;2.0;0.0;;;;;;;;;;;;;;;;;7.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;2.0;0.0;;;;;0;0;;0;9520870322;1
1259;7;3.0;0.0;2.0;0.0;;;;;;;;;;;;;1;0;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;0.0;1.0;0.0;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
296;17;1.0;0.0;1.0;0.0;;;;;;;;;;;;;4;0;3.0;1.0;;;0.0;2.0;;;;;9.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;2.0;;;2.0;0.0;;;;;;;;;;;;;3.0;1.0;;;;;;;;;;;;;;;;;;;4.0;0.0;;;;;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
5592;4;;;;;;;;;;;;;;;;;2;0;4.0;3.0;;;1.0;0.0;;;;;3.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;1.0;0.0;;;;;;;;;;;;;7.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;4046636599;1
1117;2;;;;;;;;;;;;;;;;;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;1.0;;;;;;;;;;;;;;;0;0;10740528617;1;;0
3710;4;;;1.0;0.0;3.0;0.0;;;;;;;;;;;1;0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;4.0;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;;;;;;;;;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
4007;8;;;;;;;;;;;;;;;;;1;0;2.0;0.0;2.0;0.0;1.0;0.0;;;;;2.0;0.0;;;;;;;;;;;;;;;3.0;0.0;;;;;;;;;1.0;0.0;;;2.0;0.0;;;1.0;0.0;;;;;;;;;;;;;5.0;0.0;;;;;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;7.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;0;;0;;0
3921;8;0.0;1.0;0.0;1.0;;;;;;;;;;;;;1;0;2.0;0.0;0.0;3.0;1.0;0.0;;;;;3.0;0.0;;;;;;;;;;;;;;;0.0;2.0;;;;;;;;;;;;;2.0;0.0;;;3.0;0.0;;;;;;;;;;;;;9.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
4677;4;3.0;2.0;;;;;;;;;;;;;;;4;0;;;2.0;3.0;;;;;;;2.0;0.0;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;3640075315;1;;0
5430;7;1.0;0.0;0.0;1.0;;;;;;;;;1.0;0.0;3.0;0.0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
11814;6;;;;;;;;;;;;;1.0;1.0;;;2;0;3.0;0.0;;;1.0;1.0;;;;;15.0;2.0;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;1.0;0.0;;;14.0;2.0;;;;;;;;;;;;;;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;1;0;;0;9476544994;1
12281;5;2.0;0.0;2.0;1.0;;;;;;;;;;;;;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
5406;6;5.0;2.0;4.0;2.0;;;;;;;;;3.0;0.0;;;2;0;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;;;;;;;;;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;3994805232;1;;0
5580;5;;;;;;;;;;;;;;;;;4;0;1.0;0.0;4.0;8.0;;;;;;;;;;;;;;;;;;;;;;;6.0;5.0;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;2.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;0;;0;;0
5619;3;3.0;0.0;2.0;1.0;;;;;;;;;2.0;0.0;;;2;0;4.0;2.0;5.0;2.0;2.0;0.0;;;;;5.0;0.0;;;;;;;;;;;;;;;6.0;2.0;;;;;;;;;;;;;5.0;0.0;;;0.0;1.0;;;;;;;;;;;;;3.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;4051977711;1
7604;3;1.0;0.0;0.0;1.0;;;;;;;;;;;;;2;0;0.0;1.0;;;2.0;0.0;;;;;3.0;0.0;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;1.0;0.0;;;3.0;0.0;;;;;;;;;;;;;;;;;6.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;1;4456997310;1;;0
10962;7;1.0;0.0;0.0;1.0;;;;;;;;;;;;;1;0;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;;0
11680;3;2.0;0.0;1.0;1.0;;;;;;;;;;;;;3;0;4.0;2.0;;;0.0;1.0;;;;;4.0;0.0;;;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;4.0;0.0;;;3.0;0.0;;;;;;;;;;;;;8.0;2.0;;;;;;;;;;;;;;;;;;;;;4.0;0.0;;;;;;;6.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;9399433718;1;9399293579;1
5659;4;;;;;;;;;;;;;;;;;1;0;1.0;1.0;;;2.0;0.0;;;;;3.0;0.0;;;;;;;;;;;;;;;0.0;1.0;;;;;;;;;2.0;0.0;;;2.0;0.0;;;;;;;;;;;;;;;;;3.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;1.0;0.0;;;;;0;0;;0;4059083244;1
5976;5;1.0;0.0;0.0;1.0;;;;;;;;;;;;;2;0;3.0;0.0;;;1.0;0.0;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0.0;;;1.0;0.0;;;;;;;;;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;0;4128155950;1
3099;8;;;;;1.0;0.0;0.0;1.0;;;;;1.0;0.0;;;1;0;4.0;0.0;;;1.0;0.0;;;;;2.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;0.0;;;3.0;1.0;;;;;;;;;;;;;5.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;3.0;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;0
